date,consignor_name,origin_country,commodity_code,description,customs_value_dkk,customs_duty,invoice_currency,net_mass,border_mot,inland_mot,cpc,duty_regime_code,shipments
2025-10-28,Intex Development Company Ltd,CN,9404219000,Pillow KRONBORG 60x63cm,12775.87,472.71,DKK,151.6,1,2,4000000,100,1
2025-10-07,"Healthcare Co., LTD",CN,9403601000,Bookshelf TAMBOHUSE,268352.61,0.0,DKK,2662.9,3,3,4000000,100,1
2025-02-07,Trade Point A/S,TW,3926909290,Air bed VELOUR DURABEAM,16827.0,1093.76,DKK,376.2,4,3,4000000,100,1
2025-05-02,Actona Company A/S,ID,9404219000,Pillow KRONBORG,29476.62,1090.63,EUR,320.2,3,3,4000000,100,1
2025-03-26,Trade Point A/S,PK,9401300000,Office chair GUDHJEM,38672.67,0.0,NOK,326.9,1,3,4000000,100,1
2025-12-20,Intex Development Company Ltd,IN,6301401000,Blanket SKAGEN,58048.92,6965.87,NOK,724.8,3,3,4000000,100,1
2025-11-17,ScanCom International A/S,CN,6302310000,Bed linen NEXO,47696.61,5723.59,EUR,446.2,1,3,4000000,100,1
2025-10-05,2-Connect ApS,CN,9404219000,Mattress GULDAGER,62729.18,0.0,DKK,568.1,4,2,4000000,300,1
2025-01-25,Schou,PK,9401300000,Office chair GUDHJEM,14056.14,0.0,EUR,180.1,3,3,4000000,100,1
2025-02-27,Trade Point A/S,CN,3926909290,Air bed VELOUR DURABEAM,200586.57,0.0,EUR,2070.3,1,3,4000000,300,1
2025-04-05,Intex Development Company Ltd,CN,9401790000,Recliner chair STOUBY,1193.13,0.0,DKK,16.6,1,3,4000000,100,1
2025-06-06,"LetRight Industrial Corp., LTD",VN,7013990090,Glass vase ROMO,42416.94,4665.86,EUR,721.8,3,3,4000000,100,1
2025-07-24,SourceByNet Pte. Ltd.,CN,9403208000,Lounge set FJELLERUP,400012.44,0.0,DKK,3796.4,1,3,4071000,100,1
2025-07-23,JYSK A/S,TR,6302310000,Bed linen NEXO,57280.92,0.0,NOK,773.0,3,3,4000000,300,1
2025-04-01,Schou,CN,9401300000,Office chair GUDHJEM,9643.79,0.0,DKK,108.3,3,2,4071000,100,1
2025-02-14,"LetRight Industrial Corp., LTD",CN,9404219000,Pillow KRONBORG,25082.4,928.05,DKK,610.7,1,3,4000000,100,1
2025-02-22,Intex Development Company Ltd,CN,6303929090,Curtain SILKEBORG 60x63cm,23121.89,2774.63,USD,369.7,1,3,4000000,100,1
2025-04-16,"LetRight Industrial Corp., LTD",UA,9404219000,Pillow KRONBORG,41952.99,0.0,DKK,530.7,1,3,4000000,300,1
2025-10-09,JYSK A/S,CN,6302310000,Bed linen NEXO,165345.55,19841.47,EUR,1725.4,1,3,4000000,100,1
2025-06-07,JYSK A/S,IN,6303929090,Curtain SILKEBORG,9452.33,1134.28,EUR,185.6,1,3,4000000,100,1
2025-07-02,Zolo,IN,9404909000,Duvet 200g HIMMELBJERG,4716.17,0.0,USD,102.1,3,3,4000000,300,1
2025-09-15,2-Connect ApS,CN,9401300000,Office chair GUDHJEM,78409.21,0.0,DKK,847.6,3,3,4000000,100,1
2025-06-12,Intex Development Company Ltd,CN,6303929090,Curtain SILKEBORG,52235.52,6268.26,DKK,611.6,4,3,4000000,100,1
2025-08-11,SourceByNet Pte. Ltd.,MA,9401610000,Lounge set VONGE W152xL203,172999.22,0.0,NOK,1702.5,1,3,4000000,100,1
2025-05-18,Zolo,IN,9404219000,Pillow KRONBORG,139911.4,5176.72,DKK,2132.7,1,3,4000000,100,1
2025-11-09,SourceByNet Pte. Ltd.,VN,6302310000,Bed linen NEXO,18372.84,2204.74,DKK,341.6,3,2,4000000,100,1
2025-03-14,Zolo,TR,9403601000,Bookshelf TAMBOHUSE,3042.38,0.0,EUR,27.5,1,2,4000000,100,1
2025-08-10,X-Mile ApS,CN,7013990090,Glass vase ROMO,699426.25,76936.89,DKK,10762.3,4,3,4000000,100,1
2025-03-02,Multi Lines International Co. Ltd.,PK,9401790000,Recliner chair STOUBY,127226.18,0.0,EUR,1068.4,1,3,4000000,100,1
2025-12-15,Trade Point A/S,IN,7013990090,Glass vase ROMO,9744.37,1071.88,DKK,144.0,1,3,4000000,100,1
2025-10-01,"LetRight Industrial Corp., LTD",IN,3926909290,Air bed VELOUR DURABEAM,36332.06,2361.58,DKK,886.7,1,3,4000000,100,1
2025-01-13,X-Mile ApS,IN,9401710000,Dining chair JONSTRUP,207279.29,0.0,EUR,3547.9,1,3,4000000,100,1
2025-10-19,"Healthcare Co., LTD",CN,7013990090,Glass vase ROMO sort,15434.97,1697.85,DKK,328.4,1,3,4071000,100,1
2025-06-08,JYSK A/S,CN,7013990090,Glass vase ROMO,10662.73,1172.9,USD,94.6,1,3,4000000,100,1
2025-11-26,Multi Lines International Co. Ltd.,CN,9401790000,Recliner chair STOUBY,63889.08,0.0,DKK,602.9,4,3,4000000,300,1
2025-11-22,2-Connect ApS,IN,6301401000,Blanket SKAGEN,398645.75,0.0,USD,4839.0,1,3,4000000,300,1
2025-11-16,Schou,PK,9401710000,Dining chair JONSTRUP,148145.08,0.0,DKK,1450.4,1,3,4000000,300,1
2025-01-24,ScanCom International A/S,CN,9401710000,Dining chair JONSTRUP,3670.11,0.0,DKK,33.3,1,3,4000000,100,1
2025-12-09,2-Connect ApS,BD,6303929090,Curtain SILKEBORG,32200.16,0.0,EUR,385.6,1,3,4000000,300,1
2025-03-18,JYSK A/S,TW,9404909000,Duvet 200g HIMMELBJERG,14654.37,542.21,DKK,133.1,1,3,4000000,100,1
2025-09-16,"LetRight Industrial Corp., LTD",VN,9404219000,Mattress GULDAGER,13708.65,507.22,DKK,155.8,1,3,4000000,100,1
2025-04-28,Trade Point A/S,IN,9404909000,Duvet 200g HIMMELBJERG,428589.14,15857.8,DKK,4036.5,4,3,4000000,100,1
2025-08-03,X-Mile ApS,IN,9404909000,Duvet 200g HIMMELBJERG,38149.52,1411.53,EUR,522.5,4,3,4071000,100,1
2025-09-24,Schou,CN,6303929090,Curtain SILKEBORG,82496.96,9899.64,DKK,1691.5,1,3,4071000,100,1
2025-09-17,Zolo,PK,9403208000,Lounge set FJELLERUP,68278.76,0.0,EUR,745.7,1,3,4000000,100,1
2025-01-03,"Healthcare Co., LTD",PK,7013990090,Glass vase ROMO,974807.32,107228.81,DKK,11556.1,1,3,4000000,100,1
2025-01-08,SourceByNet Pte. Ltd.,CN,9401610000,Lounge set VONGE,24256.19,0.0,DKK,229.7,3,2,4000000,100,1
2025-06-01,JYSK A/S,VN,3926909290,Air bed VELOUR DURABEAM,18873.13,1226.75,EUR,190.2,1,3,4000000,100,1
2025-08-02,"Healthcare Co., LTD",CN,9401610000,Lounge set VONGE,34142.41,0.0,USD,553.6,1,3,4000000,100,1
2025-02-15,"LetRight Industrial Corp., LTD",CN,9401300000,Office chair GUDHJEM,29914.89,0.0,EUR,670.7,1,3,4000000,100,1
2025-10-14,Actona Company A/S,CN,9401790000,Recliner chair STOUBY,42362.05,0.0,EUR,517.3,1,3,4000000,100,1
2025-07-17,Schou,VN,9404219000,Pillow KRONBORG,65621.5,2428.0,DKK,590.8,3,2,4000000,100,1
2025-08-26,Actona Company A/S,BD,9404219000,Pillow KRONBORG sort,28449.8,1052.64,DKK,237.1,1,3,4000000,100,1
2025-01-20,2-Connect ApS,CN,6303929090,Curtain SILKEBORG,517860.43,0.0,DKK,7674.4,4,3,4000000,300,1
2025-09-03,JYSK A/S,VN,9404219000,Mattress GULDAGER,137335.56,5081.42,NOK,2843.0,3,3,4000000,100,1
2025-03-14,Actona Company A/S,TR,9404909000,Duvet 200g HIMMELBJERG,109373.58,4046.82,DKK,1318.2,1,3,4000000,100,1
2025-11-19,Zolo,CN,9403601000,Bookshelf TAMBOHUSE,13859.73,0.0,DKK,174.1,1,2,4000000,100,1
2025-07-12,Trade Point A/S,CN,9404909000,Duvet 200g HIMMELBJERG,32841.95,1215.15,EUR,307.6,1,2,4071000,100,1
2025-04-19,2-Connect ApS,CN,9401790000,Recliner chair STOUBY sort,30288.66,0.0,DKK,327.6,3,3,4071000,100,1
2025-11-11,ScanCom International A/S,CN,6301401000,Blanket SKAGEN,11384.19,1366.1,EUR,249.7,1,3,4000000,100,1
2025-04-03,ScanCom International A/S,IL,3926909290,Air bed VELOUR DURABEAM,64390.41,0.0,EUR,636.8,3,2,4000000,300,1
2025-12-24,JYSK A/S,BD,9404219000,Mattress GULDAGER,3510.67,129.89,DKK,33.5,1,3,4000000,100,1
2025-02-18,X-Mile ApS,ID,3926909290,Air bed VELOUR DURABEAM,13909.09,904.09,EUR,116.5,1,3,4000000,100,1
2025-11-16,Actona Company A/S,CN,9401300000,Office chair GUDHJEM 60x63cm,43301.75,0.0,EUR,549.9,1,3,4000000,100,1
2025-06-02,ScanCom International A/S,CN,9404219000,Mattress GULDAGER,64731.95,0.0,DKK,1385.9,3,3,4071000,300,1
2025-02-10,"Healthcare Co., LTD",TR,6303929090,Curtain SILKEBORG,20833.69,2500.04,USD,179.8,1,3,4000000,100,1
2025-12-19,Multi Lines International Co. Ltd.,PK,9404219000,Mattress GULDAGER,93135.9,3446.03,DKK,877.3,1,3,4000000,100,1
2025-05-09,"Healthcare Co., LTD",IN,9401710000,Dining chair JONSTRUP,10644.76,0.0,EUR,136.1,1,4,4000000,100,1
2025-02-13,Schou,BD,9401710000,Dining chair JONSTRUP,140356.51,0.0,DKK,1560.6,1,3,4000000,100,1
2025-02-16,Intex Development Company Ltd,VN,6302310000,Bed linen NEXO,176111.55,0.0,EUR,2017.9,1,3,4000000,300,1
2025-06-03,Intex Development Company Ltd,CN,9401790000,Recliner chair STOUBY (B-kval.),20194.05,0.0,USD,309.3,3,3,4000000,100,1
2025-05-05,Schou,PK,6302310000,Bed linen NEXO,5027.23,603.27,DKK,50.3,1,2,4000000,100,1
2025-08-08,"LetRight Industrial Corp., LTD",EG,9401610000,Lounge set VONGE,42895.2,0.0,EUR,997.8,1,2,4000000,100,1
2025-11-13,"Healthcare Co., LTD",CN,9401300000,Office chair GUDHJEM,66144.27,0.0,DKK,1551.8,3,3,4000000,100,1
2025-02-16,"Healthcare Co., LTD",CN,6303929090,Curtain SILKEBORG 60x63cm,226892.27,27227.07,USD,4388.2,1,3,4000000,100,1
2025-11-21,Intex Development Company Ltd,CN,9403208000,Lounge set FJELLERUP,59897.12,0.0,DKK,547.7,1,2,4000000,100,1
2025-12-04,Schou,PK,9401790000,Recliner chair STOUBY,50522.47,0.0,NOK,870.0,3,3,4000000,300,1
2025-10-16,Trade Point A/S,UA,9403601000,Bookshelf TAMBOHUSE,6136.49,0.0,DKK,60.0,3,3,4000000,300,1
2025-05-24,SourceByNet Pte. Ltd.,CN,9404909000,Duvet 200g HIMMELBJERG W152xL203,18893.87,699.07,DKK,223.1,1,3,4000000,100,1
2025-02-19,ScanCom International A/S,ID,6301401000,Blanket SKAGEN sort,38519.22,4622.31,USD,322.0,1,3,4000000,100,1
2025-01-03,ScanCom International A/S,UA,9404219000,Pillow KRONBORG,70305.44,2601.3,USD,737.3,1,3,4000000,100,1
2025-10-13,Intex Development Company Ltd,CN,6301401000,Blanket SKAGEN,207373.33,0.0,DKK,4027.6,4,3,4000000,300,1
2025-07-04,Intex Development Company Ltd,UA,7013990090,Glass vase ROMO,108991.31,11989.04,DKK,1145.9,3,2,4000000,100,1
2025-10-16,X-Mile ApS,IN,6302310000,Bed linen NEXO sort,65143.36,7817.2,DKK,1022.3,1,3,4071000,100,1
2025-03-20,Intex Development Company Ltd,CN,6303929090,Curtain SILKEBORG,85408.93,10249.07,DKK,1169.4,1,3,4000000,100,1
2025-02-03,Zolo,CN,7013990090,Glass vase ROMO (B-kval.),16801.56,1848.17,EUR,352.5,3,3,4000000,100,1
2025-06-01,Unique Furniture A/S,CN,9404219000,Pillow KRONBORG,132935.19,4918.6,DKK,1978.0,1,3,4000000,100,1
2025-10-03,JYSK A/S,ID,9403601000,Bookshelf TAMBOHUSE 60x63cm,94380.25,0.0,DKK,1265.0,1,3,4000000,100,1
2025-04-23,Actona Company A/S,IN,9404909000,Duvet 200g HIMMELBJERG,112044.07,4145.63,EUR,1007.6,1,3,4000000,100,1
2025-12-06,"LetRight Industrial Corp., LTD",UA,9401610000,Lounge set VONGE W152xL203,39143.87,0.0,DKK,484.8,1,3,4000000,100,1
2025-06-09,JYSK A/S,CN,9404909000,Air bed VELOUR DURABEAM,13192.35,488.12,DKK,145.0,1,3,4000000,100,1
2025-01-18,Unique Furniture A/S,CN,6302310000,Bed linen NEXO,20904.01,2508.48,DKK,279.2,3,3,4000000,100,1
2025-11-12,SourceByNet Pte. Ltd.,VN,6303929090,Curtain SILKEBORG,56545.64,6785.48,DKK,826.1,1,3,4000000,100,1
2025-09-17,Unique Furniture A/S,CN,9403208000,Lounge set FJELLERUP (B-kval.),21257.99,0.0,USD,205.5,4,3,4000000,100,1
2025-03-09,"LetRight Industrial Corp., LTD",CN,9401790000,Recliner chair STOUBY,50341.29,0.0,NOK,634.2,1,3,4000000,300,1
2025-01-05,SourceByNet Pte. Ltd.,BD,3926909290,Air bed VELOUR DURABEAM,81140.13,5274.11,DKK,947.7,1,3,4000000,100,1
2025-09-08,Intex Development Company Ltd,PK,6301401000,Blanket SKAGEN 60x63cm,69085.97,8290.32,DKK,974.7,1,4,4000000,100,1
2025-03-28,Trade Point A/S,IN,9404909000,Duvet 200g HIMMELBJERG,6458.83,238.98,DKK,152.1,4,3,4000000,100,1
2025-05-09,Unique Furniture A/S,CN,7013990090,Glass vase ROMO (B-kval.),4455.81,490.14,DKK,60.3,3,3,4000000,100,1
2025-07-05,SourceByNet Pte. Ltd.,CN,9404219000,Mattress GULDAGER,3334.44,123.37,NOK,48.1,1,3,4000000,100,1
2025-08-24,2-Connect ApS,CN,7013990090,Glass vase ROMO,1647.97,181.28,DKK,17.2,1,3,4000000,100,1
2025-05-17,"LetRight Industrial Corp., LTD",CN,6303929090,Curtain SILKEBORG,36961.26,4435.35,EUR,340.0,4,3,4000000,100,1
2025-09-04,SourceByNet Pte. Ltd.,VN,9401790000,Recliner chair STOUBY,9726.07,0.0,EUR,208.7,4,3,4000000,300,1
2025-06-26,Schou,CN,6302310000,Bed linen NEXO,1804.36,0.0,USD,15.2,1,3,4000000,300,1
2025-06-10,Multi Lines International Co. Ltd.,CN,9404909000,Duvet 200g HIMMELBJERG,6804.65,251.77,USD,61.6,4,3,4000000,100,1
2025-10-03,Multi Lines International Co. Ltd.,CN,9404219000,Pillow KRONBORG W152xL203,146014.35,5402.53,USD,2061.9,1,3,4071000,100,1
2025-05-21,ScanCom International A/S,IN,9403208000,Lounge set FJELLERUP (B-kval.),35396.3,0.0,DKK,495.2,1,3,4000000,100,1
2025-08-24,X-Mile ApS,VN,7013990090,Glass vase ROMO 60x63cm,9279.5,1020.75,DKK,86.3,1,2,4071000,100,1
2025-01-15,Multi Lines International Co. Ltd.,CN,9403601000,Bookshelf TAMBOHUSE,56000.75,0.0,DKK,666.0,1,3,4071000,100,1
2025-11-26,Schou,CN,9401610000,Lounge set VONGE,61850.88,0.0,DKK,640.1,1,3,4000000,100,1
2025-07-06,"LetRight Industrial Corp., LTD",CN,6302310000,Duvet 200g HIMMELBJERG,124776.07,14973.13,DKK,1619.5,3,3,4000000,100,1
2025-06-01,X-Mile ApS,CN,6303929090,Curtain SILKEBORG,50926.98,0.0,DKK,635.3,1,3,4000000,300,1
2025-12-02,Multi Lines International Co. Ltd.,CN,9401790000,Recliner chair STOUBY,61648.99,0.0,DKK,672.3,3,3,4000000,100,1
2025-12-07,"LetRight Industrial Corp., LTD",CN,6303929090,Curtain SILKEBORG,49534.59,5944.15,NOK,870.3,1,3,4000000,100,1
2025-10-18,Actona Company A/S,UA,6301401000,Blanket SKAGEN,305181.43,36621.77,DKK,7357.8,1,3,4000000,100,1
2025-04-18,Zolo,CN,6303929090,Curtain SILKEBORG,30037.83,3604.54,NOK,277.4,1,3,4071000,100,1
2025-09-24,Multi Lines International Co. Ltd.,VN,9404219000,Pillow KRONBORG,121683.1,4502.27,USD,1108.6,3,3,4000000,100,1
2025-07-26,"Healthcare Co., LTD",CN,9401300000,Office chair GUDHJEM,28996.01,0.0,DKK,279.1,1,3,4000000,100,1
2025-10-10,SourceByNet Pte. Ltd.,CN,9404909000,Duvet 200g HIMMELBJERG,8735.23,323.2,EUR,94.5,1,3,4000000,100,1
2025-08-09,JYSK A/S,IN,9401610000,Lounge set VONGE,60801.33,0.0,USD,543.6,1,3,4000000,100,1
2025-07-26,Unique Furniture A/S,TR,9401300000,Office chair GUDHJEM,29558.68,0.0,EUR,481.4,1,3,4000000,100,1
2025-07-21,2-Connect ApS,CN,9404219000,Mattress GULDAGER,24986.36,924.5,EUR,475.0,4,3,4000000,100,1
2025-02-20,Trade Point A/S,CN,7013990090,Glass vase ROMO (B-kval.),30026.82,3302.95,EUR,558.3,3,2,4000000,100,1
2025-08-23,Actona Company A/S,VN,9404219000,Mattress GULDAGER,36196.17,1339.26,EUR,412.9,1,3,4000000,100,1
2025-01-22,X-Mile ApS,TW,9403601000,Bookshelf TAMBOHUSE,32851.69,0.0,NOK,332.0,1,3,4000000,100,1
2025-06-24,X-Mile ApS,MY,9401790000,Recliner chair STOUBY W152xL203,520480.58,0.0,DKK,5747.6,1,2,4000000,300,1
2025-09-07,"LetRight Industrial Corp., LTD",CN,6303929090,Curtain SILKEBORG,42022.32,5042.68,EUR,942.7,1,3,4000000,100,1
2025-11-08,SourceByNet Pte. Ltd.,IN,9404909000,Duvet 200g HIMMELBJERG,13501.51,499.56,EUR,164.1,1,3,4000000,100,1
2025-03-19,X-Mile ApS,VN,9401610000,Lounge set VONGE,43857.01,0.0,EUR,562.8,3,3,4000000,100,1
2025-11-02,"LetRight Industrial Corp., LTD",CN,6303929090,Curtain SILKEBORG,60739.78,7288.77,DKK,776.6,3,3,4000000,100,1
2025-09-20,SourceByNet Pte. Ltd.,CN,6301401000,Blanket SKAGEN,105811.91,12697.43,DKK,968.1,1,3,4000000,100,1
2025-02-06,JYSK A/S,CN,3926909290,Air bed VELOUR DURABEAM,87425.94,5682.69,DKK,1003.5,4,2,4000000,100,1
2025-09-17,2-Connect ApS,CN,9404909000,Air bed VELOUR DURABEAM,35080.0,1297.96,DKK,719.8,1,2,4000000,100,1
2025-05-14,"LetRight Industrial Corp., LTD",TR,6303929090,Curtain SILKEBORG,104980.05,12597.61,EUR,905.7,1,3,4000000,100,1
2025-06-28,Zolo,CN,6301401000,Blanket SKAGEN,19901.21,2388.15,EUR,186.1,1,2,4000000,100,1
2025-10-27,Zolo,CN,9404219000,Pillow KRONBORG,6543.86,242.12,DKK,97.2,4,3,4000000,100,1
2025-04-27,"Healthcare Co., LTD",CN,7013990090,Glass vase ROMO,62793.7,6907.31,EUR,667.0,1,2,4071000,100,1
2025-03-08,JYSK A/S,IN,9404219000,Pillow KRONBORG,20936.49,774.65,NOK,400.9,4,4,4000000,100,1
2025-06-24,Trade Point A/S,VN,9401610000,Lounge set VONGE,206824.34,0.0,DKK,4475.1,1,3,4000000,100,1
2025-09-24,"LetRight Industrial Corp., LTD",IN,6302310000,Bed linen NEXO (B-kval.),4031.18,483.74,NOK,38.0,4,3,4000000,100,1
2025-02-10,2-Connect ApS,CN,7013990090,Glass vase ROMO,29297.38,3222.71,DKK,358.8,1,3,4000000,100,1
2025-05-23,Schou,CN,9404909000,Air bed VELOUR DURABEAM,37251.27,1378.3,DKK,317.8,3,3,4000000,100,1
2025-09-15,Zolo,VN,9401300000,Office chair GUDHJEM (B-kval.),6874.34,0.0,EUR,85.5,3,3,4000000,100,1
2025-01-27,SourceByNet Pte. Ltd.,CN,6302310000,Bed linen NEXO,13901.11,1668.13,DKK,121.1,1,3,4071000,100,1
2025-12-14,JYSK A/S,UA,7013990090,Glass vase ROMO,141857.4,0.0,EUR,1279.0,1,3,4000000,300,1
2025-04-15,Intex Development Company Ltd,PK,3926909290,Air bed VELOUR DURABEAM,24733.54,1607.68,DKK,392.7,1,3,4071000,100,1
2025-01-22,JYSK A/S,CN,9403601000,Bookshelf TAMBOHUSE,277559.0,0.0,DKK,5992.5,1,3,4000000,300,1
2025-09-15,"Healthcare Co., LTD",CN,9401790000,Recliner chair STOUBY,50131.4,0.0,DKK,579.7,1,3,4000000,100,1
2025-10-11,SourceByNet Pte. Ltd.,PK,9401710000,Dining chair JONSTRUP,73998.44,0.0,DKK,773.0,1,4,4000000,100,1
2025-07-23,Unique Furniture A/S,CN,9403208000,Lounge set FJELLERUP,29577.8,0.0,DKK,698.7,3,3,4000000,100,1
2025-05-04,Trade Point A/S,VN,6301401000,Blanket SKAGEN,420710.01,50485.2,DKK,4625.8,1,3,4000000,100,1
2025-08-16,JYSK A/S,VN,9401610000,Lounge set VONGE,11211.01,0.0,DKK,185.6,4,3,4000000,100,1
2025-11-09,Trade Point A/S,CN,9403208000,Lounge set FJELLERUP,21426.46,0.0,DKK,248.2,3,3,4000000,100,1
2025-01-16,Schou,VN,6303929090,Curtain SILKEBORG,196296.4,0.0,EUR,2598.1,1,3,4000000,300,1
2025-07-18,Actona Company A/S,VN,6303929090,Curtain SILKEBORG,12690.0,1522.8,USD,112.9,4,3,4000000,100,1
2025-08-09,Actona Company A/S,CN,6302310000,Duvet 200g HIMMELBJERG,137823.74,0.0,EUR,2236.4,3,3,4000000,300,1
2025-08-08,Unique Furniture A/S,VN,9401300000,Office chair GUDHJEM,44530.46,0.0,DKK,634.1,3,3,4071000,100,1
2025-01-16,Trade Point A/S,CN,9401790000,Recliner chair STOUBY,85422.57,0.0,DKK,1476.8,1,3,4000000,100,1
2025-09-08,Intex Development Company Ltd,CN,9404909000,Duvet 200g HIMMELBJERG,28992.93,1072.74,USD,436.1,1,3,4000000,100,1
2025-01-01,SourceByNet Pte. Ltd.,PK,9401300000,Office chair GUDHJEM,29835.47,0.0,USD,461.9,4,3,4071000,100,1
2025-01-26,ScanCom International A/S,CN,9403601000,Bookshelf TAMBOHUSE,22881.04,0.0,DKK,232.3,4,3,4000000,100,1
2025-04-28,ScanCom International A/S,CN,6301401000,Blanket SKAGEN,116111.19,13933.34,DKK,1353.3,1,3,4000000,100,1
2025-07-05,"LetRight Industrial Corp., LTD",VN,7013990090,Glass vase ROMO,18469.28,0.0,EUR,183.0,4,3,4000000,300,1
2025-02-22,SourceByNet Pte. Ltd.,CN,7013990090,Glass vase ROMO sort,40250.2,4427.52,EUR,525.4,4,3,4000000,100,1
2025-07-07,Zolo,UA,9401710000,Dining chair JONSTRUP,200556.1,0.0,DKK,3027.7,3,3,4000000,100,1
